Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
"Sun Piaoyang",18.9,China,pharmaceutical,96,62,"Lianyungang, China",China,Married,1,"Bachelor of Arts/Science, China Pharmaceutical University; Doctorate, Nanjing University",1
"Alisher Usmanov",18.4,Russia,"steel, telecom, investments",99,67,"Moscow, Russia",Russia,Married,NULL,"Master, Finance Academy under the Government of the Russian Federation; Master of Laws, Moscow Institute of International Relations",1
"Robert Pera",18.3,"United States","wireless networking gear",100,43,"San Jose, California","United States",Single,NULL,"Bachelor of Arts/Science, University of California, San Diego; Master of Science, University of California, San Diego",1
"Wu Yajun",18.3,China,"real estate",100,57,"Beijing, China",China,Divorced,1,"Northwestern Polytechnical University",1
"Chen Bang",17.9,China,hospitals,105,55,"Changsha, China",China,Married,NULL,"Master of Business Administration, Hunan University",1
"Andrey Melnichenko",17.9,Russia,"coal, fertilizers",105,49,"Moscow, Russia",Russia,Married,2,"Master of Science, Plekhanov Russian University of Economics",1
"Dustin Moskovitz",17.8,"United States","social network",107,36,"San Francisco, California","United States",Married,NULL,"Drop Out, Harvard University",1
"Su Hua",17.8,China,"video streaming",107,39,"Beijing, China",China,NULL,NULL,"Bachelor of Science, Tsinghua University",1
"Petr Kellner",17.5,Czechia,"finance, telecommunications",110,NULL,NULL,Czechia,NULL,4,"Bachelor of Arts/Science, University of Economics in Prague",1
"Pavel Durov",17.2,Russia,"messaging app",112,36,"Dubai, United Arab Emirates",Russia,Single,2,"Master of Science, Saint Petersburg State University",1
"Jorge Paulo Lemann & family",16.9,Brazil,beer,114,81,"Zurich, Switzerland",Brazil,Married,5,"Bachelor of Arts/Science, Harvard University",1
"Wang Chuanfu",16.3,China,"batteries, automobiles",118,55,"Shenzhen, China",China,Married,NULL,"Master of Science, Beijing Non-Ferrous Research Institute; Bachelor of Arts/Science, Central South Industrial University of Technology",1
"Steve Cohen",16,"United States","hedge funds",119,64,"Greenwich, Connecticut","United States",Married,7,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",1
"Ken Griffin",16,"United States","hedge funds",119,52,"Chicago, Illinois","United States",Divorced,3,"Bachelor of Arts/Science, Harvard University",1
"Chen Zhiping",15.9,China,e-cigarettes,121,45,"Shenzhen, China",China,Married,NULL,"Master, China Europe International Business School; Bachelor of Arts/Economics, Tongji University",1
"Ernest Garcia, II.",15.9,"United States","used cars",121,63,"Tempe, Arizona","United States",Married,NULL,"Bachelor of Science, Stanford University",1
"Uday Kotak",15.9,India,banking,121,62,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Bombay University; Master of Business Administration, University of Bombay",1
"Carl Icahn",15.8,"United States",investments,124,85,"Indian Creek, Florida","United States",Married,2,"Drop Out, New York University; Bachelor of Arts/Science, Princeton University",1
"Suleiman Kerimov & family",15.8,Russia,investments,124,55,"Moscow, Russia",Russia,Married,3,"Bachelor of Arts/Science, Dagestan State University",1
"Thomas Frist, Jr. & family",15.7,"United States",hospitals,126,82,"Nashville, Tennessee","United States",Married,3,"Bachelor of Arts/Science, Vanderbilt University; Medical Doctor, Washington University",1
"Mikhail Fridman",15.5,Russia,"oil, banking, telecom",128,57,"London, United Kingdom",Russia,Divorced,5,"Bachelor of Arts/Science, Moscow Institute of Steel and Alloys",1
"Wei Jianjun & family",15.5,China,automobiles,128,57,"Baoding, China",China,Married,NULL,"Bachelor of Arts/Science, Hebei Province",1
"Donald Bren",15.3,"United States","real estate",132,88,"Newport Beach, California","United States",Married,7,"Bachelor of Arts/Science, University of Washington",1
